DATETIME,RECIPE,TOOL,INDEX,VALUE,X,Y,REFERANCE,SUBSTANCE,SUBSTANCE_X_LENGTH,SUBSTANCE_Y_LENGTH,SUBSTANCE_PERIMETER,SUBSTANCE_AREA,SUBSTANCE_ELONGATION,FILE
STRING,STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,STRING
2018.02.23 10:04:57 834,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-57 834.bmp
2018.02.23 10:04:57 861,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-57 861.bmp
2018.02.23 10:04:57 889,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-57 889.bmp
2018.02.23 10:04:57 919,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-57 919.bmp
2018.02.23 10:04:58 378,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 378.bmp
2018.02.23 10:04:58 409,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 409.bmp
2018.02.23 10:04:58 449,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 449.bmp
2018.02.23 10:04:58 492,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 492.bmp
2018.02.23 10:04:58 526,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 526.bmp
2018.02.23 10:04:58 559,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 559.bmp
2018.02.23 10:04:58 589,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 589.bmp
2018.02.23 10:04:58 618,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 618.bmp
2018.02.23 10:04:58 648,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 648.bmp
2018.02.23 10:04:58 686,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 686.bmp
2018.02.23 10:04:58 718,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 718.bmp
2018.02.23 10:04:58 751,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 751.bmp
2018.02.23 10:04:58 783,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 783.bmp
2018.02.23 10:04:58 811,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 811.bmp
2018.02.23 10:04:58 843,1,BLOB,1,7600,1031,510,D(0),알수없음,38,200,449.1,7600,27.7,.\Image\NG\2018\02\23\알수없음\10-04-58 843.bmp
